,Name,Type,Population (2020),Population (2015),Annual Population Growth Rate (2015‑2020),"Area (2013), in km2","Density (2020), per km2",City count,Mun count,Brgy count
0,Batanes,province,"18,831","17,246",1.87%,203.22,93,0,6,29
1,Cagayan,province,"1,268,603","1,199,320",1.19%,"9,398.07",135,1,28,820
2,Isabela,province,"1,697,050","1,593,566",1.33%,"13,102.05",130,3,34,"1,055"
3,Nueva Vizcaya,province,"497,432","452,287",2.02%,"4,813.88",103,0,15,275
4,Quirino,province,"203,828","188,991",1.60%,"2,319.66",88,0,6,132
