,Name,Type,Population (2020),Population (2015),Annual Population Growth Rate (2015‑2020),"Area (2013), in km2","Density (2020), per km2",City count,Mun count,Brgy count
0,Batangas,province,"2,908,494","2,694,335",1.62%,"3,115.05",934,4,30,"1,078"
1,Cavite,province,"4,344,829","3,678,301",3.57%,"1,526.28","2,847",7,16,829
2,Lucena,city (,"278,924","266,248",0.98%,80.21,"3,477",–,–,33
3,Laguna,province,"3,382,193","3,035,081",2.31%,"1,928.23","1,754",6,24,681
4,Quezon,province,"1,950,459","1,856,582",1.04%,"8,743.84",223,1,39,"1,209"
5,Rizal,province,"3,330,143","2,884,227",3.07%,"1,182.65","2,816",1,13,189
