,Name,Type,Population (2020),Population (2015),Annual Population Growth Rate (2015‑2020),"Area (2013), in km2","Density (2020), per km2",City count,Mun count,Brgy count
0,Davao de Oro,province,"767,547","736,107",0.88%,"4,560.09",168,0,11,237
1,Davao City,city (,"1,776,949","1,632,991",1.79%,"2,443.61",727,–,–,182
2,Davao del Norte,province,"1,125,057","1,016,332",2.16%,"3,422.61",329,3,8,223
3,Davao del Sur,province,"680,481","632,588",1.55%,"2,163.98",314,1,9,232
4,Davao Occidental,province,"317,159","316,342",0.05%,"2,163.45",147,0,5,105
5,Davao Oriental,province,"576,343","558,958",0.65%,"5,679.64",101,1,10,183
