,Name,Type,Population (2020),Population (2015),Annual Population Growth Rate (2015‑2020),"Area (2013), in km2","Density (2020), per km2",City count,Mun count,Brgy count
0,Cotabato,province,"1,490,618","1,379,747",1.64%,"9,317.30",160,1,17,543
1,Cotabato City,city (,"325,079","299,438",1.74%,176.00,"1,847",–,–,37
2,General Santos,city (,"697,315","594,446",3.42%,492.86,"1,415",–,–,26
3,Sarangani,province,"558,946","544,261",0.56%,"3,642.16",153,0,7,141
4,South Cotabato,province,"975,476","915,289",1.35%,"3,793.90",257,1,10,199
5,Sultan Kudarat,province,"854,052","812,095",1.07%,"5,363.86",159,1,11,249
