,Name,Type,Population (2020),Population (2015),Annual Population Growth Rate (2015‑2020),"Area (2013), in km2","Density (2020), per km2",City count,Mun count,Brgy count
0,Marinduque,province,"239,207","234,521",0.42%,952.58,251,0,6,218
1,Occidental Mindoro,province,"525,354","487,414",1.59%,"5,851.09",90,0,11,164
2,Oriental Mindoro,province,"908,339","844,059",1.56%,"4,238.38",214,1,14,426
3,Palawan,province,"939,594","849,469",2.15%,"14,649.73",64,0,23,367
4,Puerto Princesa,city (,"307,079","255,116",3.98%,"2,381.02",129,–,–,66
5,Romblon,province,"308,985","292,781",1.14%,"1,533.45",201,0,17,219
