,Name,Type,Population (2020),Population (2015),Annual Population Growth Rate (2015‑2020),"Area (2013), in km2","Density (2020), per km2",City count,Mun count,Brgy count
0,Basilan,province,"426,207","346,579",4.45%,"3,453.42",123,1,11,210
1,Lanao del Sur,province,"1,195,518","1,045,429",2.86%,"15,055.51",79,1,39,"1,159"
2,Maguindanao,province,"1,342,179","1,173,933",2.86%,"9,968.31",135,0,36,508
3,Sulu,province,"1,000,108","824,731",4.14%,"4,547.16",220,0,19,410
4,Tawi-Tawi,province,"440,276","390,715",2.55%,"3,626.55",121,0,11,203
