,Island group,Component regions
0,Luzon,I – Ilocos RegionII – Cagayan ValleyIII – Central LuzonIV‑A – CALABARZONMIMAROPA RegionNCR – National Capital RegionCAR – Cordillera Administrative Region	
1,Visayas,VI – Western VisayasVII – Central VisayasVIII – Eastern Visayas	
2,Mindanao,IX – Zamboanga PeninsulaX – Northern MindanaoXI – Davao RegionXII – SOCCSKSARGENXIII – CaragaBARMM – Bangsamoro Autonomous Region in Muslim Mindanao	
3,Luzon,I – Ilocos RegionII – Cagayan ValleyIII – Central LuzonIV‑A – CALABARZONMIMAROPA RegionNCR – National Capital RegionCAR – Cordillera Administrative Region
4,Visayas,VI – Western VisayasVII – Central VisayasVIII – Eastern Visayas
5,Mindanao,IX – Zamboanga PeninsulaX – Northern MindanaoXI – Davao RegionXII – SOCCSKSARGENXIII – CaragaBARMM – Bangsamoro Autonomous Region in Muslim Mindanao
6,Luzon,I – Ilocos RegionII – Cagayan ValleyIII – Central LuzonIV‑A – CALABARZONMIMAROPA RegionNCR – National Capital RegionCAR – Cordillera Administrative Region 
7,Visayas,VI – Western VisayasVII – Central VisayasVIII – Eastern Visayas 
8,Mindanao,IX – Zamboanga PeninsulaX – Northern MindanaoXI – Davao RegionXII – SOCCSKSARGENXIII – CaragaBARMM – Bangsamoro Autonomous Region in Muslim Mindanao 
